Timestamp,Course,State,Gender,"Overall how would you rate your mental health?
","Is there any history of mental health disorder in your family?
","On average, how many hours do you sleep per day?
",Have you ever used the counselling service provided by the college?,Family Structure,Is this the first time you're staying away from home?,How is prayer and meditation important in your daily life?,"On average, how stressed are you? ",How long have you been in Lavasa?,What strategies do you use to cope with stress and anxiety in your daily life?
10/14/2023 11:14:49,MBA,Karnataka,Female,5,No,7-8 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Other
10/16/2023 16:22:18,BBA,Haryana,Male,2,No,4-6 hours,No,Nuclear Family,Yes,1,2,Less than 6 months,Sports
10/16/2023 16:22:26,BBA,Bihar,Female,4,No,7-8 hours,No,Joint Family,Yes,5,3,Less than 6 months,Listening music
10/16/2023 16:23:05,BBA,Uttar Pradesh,Female,4,No,4-6 hours,No,Nuclear Family,Yes,2,3,Less than 6 months,Sleeping
10/16/2023 16:23:30,BBA,West Bengal,Female,4,No,7-8 hours,No,Nuclear Family,Yes,4,3,Less than 6 months,Listening music
10/16/2023 16:25:18,BBA LLB,Telangana,Male,3,No,4-6 hours,No,Nuclear Family,Yes,4,3,More than 2 years,Watching movies/series
10/16/2023 16:26:49,BBA,Uttar Pradesh,Female,3,No,4-6 hours,Yes,Nuclear Family,Yes,5,5,More than 1 year,Other
10/16/2023 16:26:49,BBA LLB,Jharkhand,Female,1,Yes,4-6 hours,No,Nuclear Family,Yes,5,5,More than 1 year,Other
10/16/2023 16:27:45,BBA,Telangana,Female,3,No,4-6 hours,No,Nuclear Family,Yes,4,3,More than 1 year,Listening music
10/16/2023 16:29:36,BBA,Madhya Pradesh,Male,2,No,4-6 hours,No,Nuclear Family,No,3,4,More than 1 year,Other
10/16/2023 16:39:29,BBA,Goa,Other,1,Yes,Less than 4 hours,No,Joint Family,Yes,1,5,More than 2 years,Other
10/16/2023 16:42:29,BBA LLB,Kerala,Male,1,No,4-6 hours,No,Nuclear Family,No,1,5,More than 1 year,Listening music
10/16/2023 16:55:25,MA English,Tamil Nadu,Female,4,No,4-6 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Sleeping
10/16/2023 17:40:46,BA LLB,Other,Female,3,Yes,4-6 hours,No,Joint Family,Yes,2,4,Less than 6 months,Listening music
10/17/2023 11:25:39,MSc DS,West Bengal,Female,2,No,Less than 4 hours,No,Nuclear Family,Yes,3,5,Less than 6 months,Meditation
10/17/2023 16:10:01,MSc DS,Kerala,Male,3,Yes,4-6 hours,Yes,Nuclear Family,Yes,3,3,More than 1 year,Sports
10/17/2023 16:15:20,MSc DS,Bihar,Male,3,No,Less than 4 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Sports
10/17/2023 16:17:21,MSc DS,Kerala,Male,5,No,4-6 hours,No,Nuclear Family,No,5,4,Less than 6 months,Listening music
10/17/2023 16:17:21,MSc DS,Bihar,Male,5,No,4-6 hours,Yes,Nuclear Family,No,5,4,Less than 6 months,Sleeping
10/17/2023 16:17:45,MSc DS,Kerala,Male,3,No,4-6 hours,No,Nuclear Family,No,3,4,Less than 6 months,Sports
10/17/2023 16:18:16,MSc DS,Kerala,Male,3,Yes,4-6 hours,No,Nuclear Family,Yes,3,3,More than 1 year,Watching movies/series
10/17/2023 16:19:59,MSc DS,Telangana,Female,3,No,4-6 hours,No,Nuclear Family,Yes,5,5,Less than 6 months,Listening music
10/17/2023 16:25:08,MSc DS,Goa,Male,2,No,4-6 hours,No,Nuclear Family,Yes,5,5,Less than 6 months,Listening music
10/17/2023 16:25:37,MSc EA,Odisha,Female,2,No,4-6 hours,Yes,Joint Family,No,5,5,Less than 6 months,Meditation
10/17/2023 20:09:29,MSc DS,Maharashtra,Male,4,No,Less than 4 hours,No,Nuclear Family,No,5,3,More than 1 year,Sleeping
10/17/2023 20:18:57,MBA,Karnataka,Male,2,No,4-6 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Watching movies/series
10/17/2023 20:22:56,MBA,Tamil Nadu,Male,2,No,4-6 hours,No,Nuclear Family,No,2,5,More than 1 year,Sleeping
10/18/2023 17:03:57,MBA,Kerala,Male,5,No,7-8 hours,No,Nuclear Family,Yes,1,1,Less than 6 months,Listening music
10/18/2023 17:04:49,MBA,Kerala,Male,5,No,4-6 hours,No,Nuclear Family,Yes,5,5,More than 1 year,Watching movies/series
10/18/2023 21:45:05,MBA,Bihar,Female,4,No,4-6 hours,No,Nuclear Family,Yes,2,4,Less than 6 months,Listening music
10/19/2023 16:12:13,MSc DS,West Bengal,Female,4,No,7-8 hours,Yes,Nuclear Family,Yes,3,2,More than 1 year,Sports
